C,OPDP.WORLD,NETWORK_OUTAGE,AEMO,PUBLIC,2019/04/29,13:30:06,0000000307290523,NETWORK,0000000307290523
I,NETWORK,OUTAGEDETAIL,3,OUTAGEID,SUBSTATIONID,EQUIPMENTTYPE,EQUIPMENTID,STARTTIME,ENDTIME,SUBMITTEDDATE,OUTAGESTATUSCODE,RESUBMITREASON,RESUBMITOUTAGEID,RECALLTIMEDAY,RECALLTIMENIGHT,LASTCHANGED,REASON,ISSECONDARY,ACTUAL_STARTTIME,ACTUAL_ENDTIME,COMPANYREFCODE
D,NETWORK,OUTAGEDETAIL,3,792030,HWTS,TRANS,A1TR_500,"2017/10/04 13:30:00","2019/11/18 06:00:00","2017/09/25 11:06:52",WDRAWN,,,-1,-1,"2017/10/03 07:21:48","HV equipt maintenance",0,,,1000016718/720
D,NETWORK,OUTAGEDETAIL,3,792383,HWTS,TRANS,A1TR_500,"2017/10/03 07:00:00","2019/11/18 06:00:00","2017/10/02 11:35:17",WDRAWN,"Information Update",792396,-1,-1,"2017/10/02 22:25:18","HV equipt maintenance",0,,,1000016920/718
D,NETWORK,OUTAGEDETAIL,3,792396,HWTS,TRANS,A1TR_500,"2017/10/03 06:00:00","2019/11/18 06:00:00","2017/10/02 22:25:18",WDRAWN,"Information Update",795173,-1,-1,"2017/11/18 17:09:51","HV equipt maintenance",0,"2017/10/03 05:58:00",,1000016920/718
D,NETWORK,OUTAGEDETAIL,3,794916,KEMPS_CK,TRANS,3L,"2019/03/04 07:00:00","2019/05/31 17:00:00","2017/11/14 10:33:28",WDRAWN,"Information Update",822199,6600,6600,"2019/04/12 09:16:53","HV equipt maintenance",0,"2019/03/04 06:49:00",,TG_330930
D,NETWORK,OUTAGEDETAIL,3,795173,HWTS,TRANS,A1TR_500,"2017/10/03 06:00:00","2019/11/19 06:00:00","2017/11/18 17:09:51",PTP,,,-1,-1,"2017/11/18 17:42:25","HV equipt maintenance",0,"2017/10/03 05:58:00",,1000016920/718
D,NETWORK,OUTAGEDETAIL,3,795540,EMU_BAY,CB,A752,"2019/10/02 08:00:00","2019/10/02 16:00:00","2017/11/24 11:08:48",WDRAWN,"Information Update",795807,60,0,"2017/11/29 12:24:28","Secondary equipt maintenance",0,,,130531-OUT1
D,NETWORK,OUTAGEDETAIL,3,798868,DAVENP,CB,CB6565,"2099/02/08 07:00:00","2099/02/08 16:30:00","2018/02/05 12:00:16",WDRAWN,"Information Update",799058,120,0,"2018/03/06 09:27:08","HV equipt commissioning",0,,,64290
D,NETWORK,OUTAGEDETAIL,3,798868,DAVENP,CB,CB6563,"2099/02/08 07:00:00","2099/02/08 16:30:00","2018/02/05 12:00:16",WDRAWN,"Information Update",799058,120,0,"2018/03/06 09:27:08","HV equipt commissioning",0,,,64290
D,NETWORK,OUTAGEDETAIL,3,798868,DAVENP,CB,CB6564,"2099/02/08 07:00:00","2099/02/08 16:30:00","2018/02/05 12:00:16",WDRAWN,"Information Update",799058,120,0,"2018/03/06 09:27:08","HV equipt commissioning",0,,,64290
D,NETWORK,OUTAGEDETAIL,3,798869,DAVENP,CB,CB6564,"2099/02/07 07:00:00","2099/02/07 16:30:00","2018/02/05 12:00:18",WDRAWN,"Information Update",799057,120,0,"2018/03/06 09:26:34","HV equipt commissioning",0,,,64290
