C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,06:40:35,0000000307942072,P5MIN,0000000307942069
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 06:45:00","2019/05/16 06:45:00",0,950575704.7040,0,0,0,227.813,0,14.64,,,,,0,0,0,0,"2019/05/16 06:40:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",WRWF1,"2019/05/16 07:10:00",-104.26,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",WRWF1,"2019/05/16 07:15:00",-115.18,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",WRWF1,"2019/05/16 07:20:00",-115.25,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",WRWF1,"2019/05/16 07:25:00",-116.73,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",WRWF1,"2019/05/16 07:30:00",-130.69,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",WRWF1,"2019/05/16 07:35:00",-235.04,2,"2019/05/16 06:40:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 06:45:00",WRWF1,"2019/05/16 07:40:00",-207.16,2,"2019/05/16 06:40:25"
I,P5MIN,REGIONSOLUTION,5,RUN_DATETIME,INTERVENTION,INTERVAL_DATETIME,REGIONID,RRP,ROP,EXCESSGENERATION,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALREQ,LOWER5MINREQ,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALREQ,LOWER60SECREQ,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALREQ,LOWER6SECREQ,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALREQ,RAISE5MINREQ,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALREQ,RAISE60SECREQ,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALREQ,RAISE6SECREQ,AGGREGATEDISPATCHERROR,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGDISPATCH,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGDISPATCH,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,LASTCHANGED,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 06:45:00",NSW1,117.86267,117.86267,0,19.81,19.81,13.81,13.81,2,2,38.37,38.37,0.03,0.03,0.05,0.05,0.2,0.2,14,14,8495.12,10780.021,0,88.43555,7638.53,0,-856.59,,,40,,,,,10,,,,,0,,,,,204.73,,,,,75.11,,,,,60.11,,,0,8410.77637,8501.96,,0,27,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8504.9721,574.021,445.89384,13.75284
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 06:45:00",0,"2019/05/16 06:50:00",NSW1,114.04074,114.04074,0,19.81,19.81,13.81,13.81,12,12,35.62996,35.62996,0.03,0.03,0.11,0.11,0.2,0.2,14.73,14.73,8573.75,10778.405,0,78.62262,7639.42,0,-934.33,,,50,,,,,40,,,,,30,,,,,223,,,,,75,,,,,60,,,0,8501.96,8578.85,,0,52,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 06:40:25",3.0121,8581.8621,572.405,431.66698,2.29298
