C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,23:40:36,0000000307971837,P5MIN,0000000307971834
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 23:45:00","2019/05/16 23:45:00",0,575398097.2830,0,0,0,0,0,81.697,,,,,0,0,0,0,"2019/05/16 23:40:24"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BLOWERNG,"2019/05/16 23:50:00",0.52,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BLOWERNG,"2019/05/16 23:55:00",0.41,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BLOWERNG,"2019/05/17 00:00:00",0.48,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BLOWERNG,"2019/05/17 00:40:00",1.29,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BOCORWF1,"2019/05/16 23:50:00",0.52,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BOCORWF1,"2019/05/16 23:55:00",0.41,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BOCORWF1,"2019/05/17 00:00:00",0.48,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BOCORWF1,"2019/05/17 00:40:00",1.29,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BROKENH1,"2019/05/16 23:50:00",6.19,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BROKENH1,"2019/05/16 23:55:00",4.86,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BROKENH1,"2019/05/17 00:00:00",5.78,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",BROKENH1,"2019/05/17 00:40:00",15.34,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",COLEASF1,"2019/05/16 23:50:00",0.52,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",COLEASF1,"2019/05/16 23:55:00",0.41,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",COLEASF1,"2019/05/17 00:00:00",0.48,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",COLEASF1,"2019/05/17 00:40:00",1.29,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",CROOKWF2,"2019/05/16 23:50:00",0.52,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",CROOKWF2,"2019/05/16 23:55:00",0.41,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",CROOKWF2,"2019/05/17 00:00:00",0.48,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",CROOKWF2,"2019/05/17 00:40:00",1.29,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",DARTM1,"2019/05/16 23:50:00",-2.23,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",DARTM1,"2019/05/16 23:55:00",-1.75,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",DARTM1,"2019/05/17 00:00:00",-2.09,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",DARTM1,"2019/05/17 00:40:00",-5.54,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GULLRSF1,"2019/05/16 23:50:00",0.52,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GULLRSF1,"2019/05/16 23:55:00",0.41,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GULLRSF1,"2019/05/17 00:00:00",0.48,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GULLRSF1,"2019/05/17 00:40:00",1.29,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GULLRWF1,"2019/05/16 23:50:00",0.52,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GULLRWF1,"2019/05/16 23:55:00",0.41,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GULLRWF1,"2019/05/17 00:00:00",0.48,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GULLRWF1,"2019/05/17 00:40:00",1.29,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GUNNING1,"2019/05/16 23:50:00",0.52,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GUNNING1,"2019/05/16 23:55:00",0.41,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GUNNING1,"2019/05/17 00:00:00",0.48,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GUNNING1,"2019/05/17 00:40:00",1.29,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GUTHEGA,"2019/05/16 23:50:00",-3.28,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GUTHEGA,"2019/05/16 23:55:00",-2.58,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GUTHEGA,"2019/05/17 00:00:00",-3.06,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",GUTHEGA,"2019/05/17 00:40:00",-8.13,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",HUMENSW,"2019/05/16 23:50:00",5.44,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",HUMENSW,"2019/05/16 23:55:00",4.27,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",HUMENSW,"2019/05/17 00:00:00",5.08,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",HUMENSW,"2019/05/17 00:40:00",13.49,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",HUMEV,"2019/05/16 23:50:00",5.44,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",HUMEV,"2019/05/16 23:55:00",4.27,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",HUMEV,"2019/05/17 00:00:00",5.08,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",HUMEV,"2019/05/17 00:40:00",13.49,1,"2019/05/16 23:40:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:45:00",MCKAY1,"2019/05/16 23:50:00",-0.86,1,"2019/05/16 23:40:24"
