C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,05:05:36,0000000307939707,P5MIN,0000000307939704
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 05:10:00","2019/05/16 05:10:00",0,1563632036.5340,0,0,0,50,0,122.447,,,,,0,0,0,0,"2019/05/16 05:05:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 05:10:00",BLOWERNG,"2019/05/16 05:15:00",1.14,1,"2019/05/16 05:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 05:10:00",BLOWERNG,"2019/05/16 05:20:00",1.63,1,"2019/05/16 05:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 05:10:00",BLOWERNG,"2019/05/16 05:25:00",1.48,1,"2019/05/16 05:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 05:10:00",BLOWERNG,"2019/05/16 05:30:00",1.02,1,"2019/05/16 05:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 05:10:00",BLOWERNG,"2019/05/16 05:40:00",0.13,1,"2019/05/16 05:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 05:10:00",BLOWERNG,"2019/05/16 05:45:00",0.44,1,"2019/05/16 05:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 05:10:00",BLOWERNG,"2019/05/16 05:50:00",0.53,1,"2019/05/16 05:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 05:10:00",BLOWERNG,"2019/05/16 05:55:00",0.17,1,"2019/05/16 05:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 05:10:00",BLOWERNG,"2019/05/16 06:00:00",0.2,1,"2019/05/16 05:05:25"
