C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,23:25:36,0000000307971477,P5MIN,0000000307971474
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 23:30:00","2019/05/16 23:30:00",0,1599718101.8610,0,0,0,0,0,177.201,,,,,0,0,0,0,"2019/05/16 23:25:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BLOWERNG,"2019/05/16 23:30:00",0.57,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BLOWERNG,"2019/05/16 23:35:00",0.4,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BLOWERNG,"2019/05/16 23:50:00",0.44,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BLOWERNG,"2019/05/16 23:55:00",0.4,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BLOWERNG,"2019/05/17 00:00:00",0.42,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BOCORWF1,"2019/05/16 23:30:00",0.57,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BOCORWF1,"2019/05/16 23:35:00",0.4,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BOCORWF1,"2019/05/16 23:50:00",0.44,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BOCORWF1,"2019/05/16 23:55:00",0.4,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BOCORWF1,"2019/05/17 00:00:00",0.42,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BROKENH1,"2019/05/16 23:30:00",6.85,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BROKENH1,"2019/05/16 23:35:00",4.75,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BROKENH1,"2019/05/16 23:50:00",5.24,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BROKENH1,"2019/05/16 23:55:00",4.72,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",BROKENH1,"2019/05/17 00:00:00",5.07,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",COLEASF1,"2019/05/16 23:30:00",0.57,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",COLEASF1,"2019/05/16 23:35:00",0.4,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",COLEASF1,"2019/05/16 23:50:00",0.44,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",COLEASF1,"2019/05/16 23:55:00",0.4,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",COLEASF1,"2019/05/17 00:00:00",0.42,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",CROOKWF2,"2019/05/16 23:30:00",0.57,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",CROOKWF2,"2019/05/16 23:35:00",0.4,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",CROOKWF2,"2019/05/16 23:50:00",0.44,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",CROOKWF2,"2019/05/16 23:55:00",0.4,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",CROOKWF2,"2019/05/17 00:00:00",0.42,1,"2019/05/16 23:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:30:00",DARTM1,"2019/05/16 23:30:00",-2.47,1,"2019/05/16 23:25:25"
