C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,19:45:36,0000000307966012,P5MIN,0000000307966009
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 19:50:00","2019/05/16 19:50:00",0,1335809498.5620,0,0,0,0,0,151.01,,,,,0,0,0,0,"2019/05/16 19:45:26"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",GORDON,"2019/05/16 19:50:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",GORDON,"2019/05/16 19:55:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",GORDON,"2019/05/16 20:00:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",LI_WY_CA,"2019/05/16 19:50:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",LI_WY_CA,"2019/05/16 19:55:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",LI_WY_CA,"2019/05/16 20:00:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",LK_ECHO,"2019/05/16 19:50:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",LK_ECHO,"2019/05/16 19:55:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",LK_ECHO,"2019/05/16 20:00:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",MEADOWBK,"2019/05/16 19:50:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",MEADOWBK,"2019/05/16 19:55:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",MEADOWBK,"2019/05/16 20:00:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",SAPHWF1,"2019/05/16 20:15:00",-4.29,1,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",SAPHWF1,"2019/05/16 20:20:00",-3.33,1,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",SAPHWF1,"2019/05/16 20:25:00",-0.3,1,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",SAPHWF1,"2019/05/16 20:30:00",-0.23,1,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",SAPHWF1,"2019/05/16 20:35:00",-4.85,1,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",SAPHWF1,"2019/05/16 20:40:00",-4.83,1,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",SAPHWF1,"2019/05/16 20:45:00",-5.51,1,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",TARRALEA,"2019/05/16 19:50:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",TARRALEA,"2019/05/16 19:55:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",TARRALEA,"2019/05/16 20:00:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",TUNGATIN,"2019/05/16 19:50:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",TUNGATIN,"2019/05/16 19:55:00",-12.61,2,"2019/05/16 19:45:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 19:50:00",TUNGATIN,"2019/05/16 20:00:00",-12.61,2,"2019/05/16 19:45:26"
