C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,23:10:37,0000000307971102,P5MIN,0000000307971099
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 23:15:00","2019/05/16 23:15:00",0,3184954622.5160,0,0,0,0,0,324.928,,,,,0,0,0,0,"2019/05/16 23:10:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BLOWERNG,"2019/05/16 23:35:00",0.14,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BLOWERNG,"2019/05/16 23:50:00",0.46,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BLOWERNG,"2019/05/16 23:55:00",0.39,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BLOWERNG,"2019/05/17 00:00:00",0.37,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BOCORWF1,"2019/05/16 23:35:00",0.14,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BOCORWF1,"2019/05/16 23:50:00",0.46,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BOCORWF1,"2019/05/16 23:55:00",0.39,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BOCORWF1,"2019/05/17 00:00:00",0.37,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BROKENH1,"2019/05/16 23:35:00",1.72,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BROKENH1,"2019/05/16 23:50:00",5.53,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BROKENH1,"2019/05/16 23:55:00",4.71,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",BROKENH1,"2019/05/17 00:00:00",4.44,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",COLEASF1,"2019/05/16 23:35:00",0.14,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",COLEASF1,"2019/05/16 23:50:00",0.46,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",COLEASF1,"2019/05/16 23:55:00",0.39,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",COLEASF1,"2019/05/17 00:00:00",0.37,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",CROOKWF2,"2019/05/16 23:35:00",0.14,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",CROOKWF2,"2019/05/16 23:50:00",0.46,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",CROOKWF2,"2019/05/16 23:55:00",0.39,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",CROOKWF2,"2019/05/17 00:00:00",0.37,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",DARTM1,"2019/05/16 23:35:00",-0.62,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",DARTM1,"2019/05/16 23:50:00",-1.99,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",DARTM1,"2019/05/16 23:55:00",-1.7,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",DARTM1,"2019/05/17 00:00:00",-1.6,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GORDON,"2019/05/17 00:05:00",-1.63,2,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GORDON,"2019/05/17 00:10:00",-0.33,2,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GULLRSF1,"2019/05/16 23:35:00",0.14,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GULLRSF1,"2019/05/16 23:50:00",0.46,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GULLRSF1,"2019/05/16 23:55:00",0.39,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GULLRSF1,"2019/05/17 00:00:00",0.37,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GULLRWF1,"2019/05/16 23:35:00",0.14,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GULLRWF1,"2019/05/16 23:50:00",0.46,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GULLRWF1,"2019/05/16 23:55:00",0.39,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GULLRWF1,"2019/05/17 00:00:00",0.37,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GUNNING1,"2019/05/16 23:35:00",0.14,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GUNNING1,"2019/05/16 23:50:00",0.46,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GUNNING1,"2019/05/16 23:55:00",0.39,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GUNNING1,"2019/05/17 00:00:00",0.37,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GUTHEGA,"2019/05/16 23:35:00",-0.91,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GUTHEGA,"2019/05/16 23:50:00",-2.93,1,"2019/05/16 23:10:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 23:15:00",GUTHEGA,"2019/05/16 23:55:00",-2.5,1,"2019/05/16 23:10:25"
