C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,16:10:35,0000000307959487,P5MIN,0000000307959484
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 16:15:00","2019/05/16 16:15:00",0,-262724812.3660,0,0,0,35.304,0,0,,,,,0,0,0,0,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TARRALEA,"2019/05/16 16:30:00",13.24,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TARRALEA,"2019/05/16 16:35:00",13.51,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TARRALEA,"2019/05/16 16:40:00",13.77,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TARRALEA,"2019/05/16 16:45:00",13.77,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TARRALEA,"2019/05/16 16:50:00",13.28,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TARRALEA,"2019/05/16 16:55:00",17.41,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TARRALEA,"2019/05/16 17:00:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TARRALEA,"2019/05/16 17:05:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TARRALEA,"2019/05/16 17:10:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 16:15:00",9.76,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 16:20:00",17.44,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 16:25:00",30.91,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 16:30:00",13.24,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 16:35:00",13.51,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 16:40:00",13.77,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 16:45:00",13.77,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 16:50:00",13.28,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 16:55:00",17.41,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 17:00:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 17:05:00",435000,2,"2019/05/16 16:10:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 16:15:00",TUNGATIN,"2019/05/16 17:10:00",435000,2,"2019/05/16 16:10:24"
I,P5MIN,REGIONSOLUTION,5,RUN_DATETIME,INTERVENTION,INTERVAL_DATETIME,REGIONID,RRP,ROP,EXCESSGENERATION,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALREQ,LOWER5MINREQ,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALREQ,LOWER60SECREQ,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALREQ,LOWER6SECREQ,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALREQ,RAISE5MINREQ,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALREQ,RAISE60SECREQ,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALREQ,RAISE6SECREQ,AGGREGATEDISPATCHERROR,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGDISPATCH,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGDISPATCH,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,LASTCHANGED,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:15:00",NSW1,98.22021,98.22021,0,5.89,5.89,5,5,0.7,0.7,45.73,45.73,0,0,0.04,0.04,0.19,0.19,12.5,12.5,8385.5,11085.31009,0,10.50684,7542.46,0,-843.04,,,50,,,,,15,,,,,0,,,,,162,,,,,85.06,,,,,58.1,,,4.54811,8379.03027,8395.49,,0,57,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8413.146660,314.31009,314.31009,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:20:00",NSW1,98.78058,98.78058,0,9.49,9.49,5,5,0.73,0.73,34.73,34.73,0,0,0.03,0.03,0.19,0.19,8.73,8.73,8451.78,11080.07409,0,66.28475,7552.32,0,-899.46,,,50,,,,,10,,,,,0,,,,,162,,,,,87,,,,,58,,,4.54811,8395.49,8464.04,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8481.696660,309.07409,309.07409,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:25:00",NSW1,100.40049,100.40049,0,9.49,9.49,5,5,0.73,0.73,34.73,34.73,0,0,0.03,0.03,0.19,0.19,8.73,8.73,8493.67,11073.87809,0,41.89311,7561.13,0,-932.55,,,50,,,,,10,,,,,0,,,,,162,,,,,87,,,,,58,,,4.54811,8464.04,8505.26,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8522.916660,302.87809,302.87809,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:30:00",NSW1,98.73856,98.73856,0,9.49,9.49,5,5,0.73,0.73,34.73,34.73,0.03,0.03,0.08,0.08,0.2,0.2,14,14,8513.8,11067.09509,0,20.12354,7569.35,0,-944.45,,,50,,,,,40,,,,,21.59,,,,,162,,,,,87,,,,,58,,,4.54811,8505.26,8526.89,,0,66,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8544.546660,296.09509,296.09509,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:35:00",NSW1,97.59276,97.59276,0,9.46836,9.46836,5,5,0.73,0.73,45.73,45.73,0.01,0.01,0.08,0.08,0.2,0.2,14.73,14.73,8541.58,11067.89609,0,27.78557,7578.15,0,-963.44,,,50,,,,,40,,,,,4.53,,,,,162,,,,,87,,,,,58,,,4.54811,8526.89,8564.12,,0,68,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8581.776660,289.89609,289.89609,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:40:00",NSW1,98.14499,98.14499,0,9.38283,9.38283,5,5,0.73,0.73,45.73,45.73,0.01,0.01,0.08,0.08,0.2,0.2,14.73,14.73,8608.69,11060.81809,0,67.10604,7586.07,0,-1022.62,,,50,,,,,40,,,,,2.2,,,,,162,,,,,87,,,,,58,,,4.54811,8564.12,8634.99,,0,68,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8652.646660,282.81809,282.81809,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:45:00",NSW1,98.85404,98.85404,0,9.75,9.75,5,5,0.73,0.73,45.99,45.99,0.01,0.01,0.08,0.08,0.2,0.2,14.73,14.73,8670.98,11053.19209,0,62.29324,7593.44,0,-1077.54,,,50,,,,,40,,,,,0.25,,,,,162,,,,,87,,,,,58,,,4.54811,8634.99,8698.01,,0,68,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8715.666660,275.19209,275.19209,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 16:15:00",0,"2019/05/16 16:50:00",NSW1,98.76506,98.76506,0,1,1,0.73,0.73,0.49,0.49,45.73,45.73,0,0,0.04,0.04,0.2,0.2,14,14,8717.62,11043.19009,0,46.63805,7596.19,0,-1121.43,,,50,,,,,10,,,,,0,,,,,145.58,,,,,23.39,,,,,20.06,,,4.54811,8698.01,8744.87,,0,66,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 16:10:24",17.65666,8762.526660,265.19009,265.19009,0
