C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,00:15:36,0000000307932428,P5MIN,0000000307932425
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",JBUTTERS,"2019/05/16 00:55:00",1.82,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",JBUTTERS,"2019/05/16 01:00:00",2.85,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:20:00",20.09,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:25:00",20.62,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:30:00",20.62,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:40:00",0.69,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:45:00",17.87,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:50:00",12.56,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 00:55:00",9.12,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 01:00:00",14.23,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 01:10:00",8.56,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LI_WY_CA,"2019/05/16 01:15:00",12.86,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 00:20:00",20.09,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 00:25:00",20.62,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 00:30:00",20.62,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 00:40:00",0.69,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 00:45:00",17.87,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 00:50:00",12.56,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 00:55:00",9.12,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 01:00:00",14.23,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 01:10:00",8.56,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",LK_ECHO,"2019/05/16 01:15:00",12.86,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MEADOWBK,"2019/05/16 00:20:00",20.09,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MEADOWBK,"2019/05/16 00:25:00",20.62,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MEADOWBK,"2019/05/16 00:30:00",20.62,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MEADOWBK,"2019/05/16 00:40:00",0.69,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MEADOWBK,"2019/05/16 00:45:00",17.87,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MEADOWBK,"2019/05/16 00:50:00",12.56,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MEADOWBK,"2019/05/16 00:55:00",9.12,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MEADOWBK,"2019/05/16 01:00:00",14.23,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MEADOWBK,"2019/05/16 01:10:00",8.56,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MEADOWBK,"2019/05/16 01:15:00",12.86,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MURRAY,"2019/05/16 00:30:00",-3.16,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MURRAY,"2019/05/16 00:35:00",-18,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MURRAY,"2019/05/16 00:40:00",-19.38,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MURRAY,"2019/05/16 00:45:00",-11.63,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MURRAY,"2019/05/16 00:50:00",-10.24,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MURRAY,"2019/05/16 00:55:00",-14.91,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MURRAY,"2019/05/16 01:00:00",-11.71,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MURRAY,"2019/05/16 01:05:00",-17.29,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MURRAY,"2019/05/16 01:10:00",-12.65,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",MURRAY,"2019/05/16 01:15:00",-10.52,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE1,"2019/05/16 00:20:00",4.02,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE1,"2019/05/16 00:25:00",4.12,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE1,"2019/05/16 00:30:00",4.12,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE1,"2019/05/16 00:50:00",2.51,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE1,"2019/05/16 00:55:00",1.82,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE1,"2019/05/16 01:00:00",2.85,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE2,"2019/05/16 00:20:00",4.02,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE2,"2019/05/16 00:25:00",4.12,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE2,"2019/05/16 00:30:00",4.12,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE2,"2019/05/16 00:50:00",2.51,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE2,"2019/05/16 00:55:00",1.82,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",REECE2,"2019/05/16 01:00:00",2.85,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",STWF1,"2019/05/16 00:30:00",6.4,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",STWF1,"2019/05/16 00:35:00",36.46,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",STWF1,"2019/05/16 00:40:00",39.25,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",STWF1,"2019/05/16 00:45:00",23.55,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",STWF1,"2019/05/16 00:50:00",20.73,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",STWF1,"2019/05/16 00:55:00",30.19,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",STWF1,"2019/05/16 01:00:00",23.72,2,"2019/05/16 00:15:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 00:20:00",STWF1,"2019/05/16 01:05:00",35.02,2,"2019/05/16 00:15:25"
