C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,14:55:35,0000000307957337,P5MIN,0000000307957334
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 15:00:00","2019/05/16 15:00:00",0,3318707399.1930,0,0,0,0,0,336.875,,,,,0,0,0,0,"2019/05/16 14:55:24"
I,P5MIN,REGIONSOLUTION,5,RUN_DATETIME,INTERVENTION,INTERVAL_DATETIME,REGIONID,RRP,ROP,EXCESSGENERATION,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALREQ,LOWER5MINREQ,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALREQ,LOWER60SECREQ,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALREQ,LOWER6SECREQ,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALREQ,RAISE5MINREQ,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALREQ,RAISE60SECREQ,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALREQ,RAISE6SECREQ,AGGREGATEDISPATCHERROR,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGDISPATCH,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGDISPATCH,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,LASTCHANGED,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:00:00",0,"2019/05/16 15:00:00",NSW1,90.82917,90.82917,0,3,3,1.98,1.98,0.73,0.73,23.73,23.73,0,0,0.07,0.07,0.2,0.2,8.73,8.73,7840.19,10712.64185,0,8.19189,7179.01,0,-661.18,,,25,,,,,5,,,,,0,,,,,162,,,,,54.72,,,,,38.13,,,0,7849.17236,7854.2,,0,51,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 14:55:24",36.52456,7890.724560,403.64185,403.64185,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:00:00",0,"2019/05/16 15:05:00",NSW1,79.73636,79.73636,0,3,3,2,2,0.73,0.73,23.73,23.73,0.03,0.03,0.05,0.05,0.19,0.19,12.5,12.5,7840.01,10798.60685,0,-0.1797,7245.1,0,-594.91,,,50,,,,,20,,,,,10,,,,,162,,,,,55.74,,,,,38,,,0,7854.2,7851.86,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 14:55:24",36.52456,7888.384560,399.60685,399.60685,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:00:00",0,"2019/05/16 15:10:00",NSW1,77.17623,77.17623,0,5,5,2,2,0.73,0.73,21.15757,21.15757,0.03,0.03,0.05,0.05,0.19,0.19,12.5,12.5,7840.29,10793.38885,0,0.27815,7309.88,0,-530.41,,,50,,,,,20,,,,,10,,,,,162,,,,,59.91,,,,,40.57,,,0,7851.86,7847.98,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 14:55:24",36.52456,7884.504560,394.38885,394.38885,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:00:00",0,"2019/05/16 15:15:00",NSW1,76.65319,76.65319,0,3,3,1.98,1.98,0.73,0.73,20.60508,20.60508,0.03,0.03,0.05,0.05,0.19,0.19,12.5,12.5,7875.35,10787.72285,0,35.05842,7374.21,0,-501.14,,,50,,,,,20,,,,,10,,,,,162,,,,,53.98,,,,,38,,,0,7847.98,7882.12,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 14:55:24",36.52456,7918.644560,388.72285,388.72285,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:00:00",0,"2019/05/16 15:20:00",NSW1,84.82403,84.82403,0,3,3,1.98,1.98,0.73,0.73,23.73,23.73,0.03,0.03,0.05,0.05,0.19,0.19,12.5,12.5,7907.56,10781.68985,0,32.21321,7408.18,0,-499.38,,,50,,,,,20,,,,,10,,,,,162,,,,,51.68,,,,,38,,,0,7882.12,7912.57,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 14:55:24",36.52456,7949.094560,382.68985,382.68985,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:00:00",0,"2019/05/16 15:25:00",NSW1,87.80912,87.80912,0,2.78,2.78,1.81,1.81,0.73,0.73,21.63659,21.63659,0.03,0.03,0.05,0.05,0.19,0.19,11.07591,11.07591,7927.66,10774.70985,0,20.10335,7441.2,0,-486.46,,,50,,,,,20,,,,,10,,,,,162,,,,,45,,,,,38,,,0,7912.57,7932.74,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 14:55:24",36.52456,7969.264560,375.70985,375.70985,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:00:00",0,"2019/05/16 15:30:00",NSW1,87.81744,87.81744,0,1.98,1.98,1,1,0.73,0.73,21.62387,21.62387,0.03,0.03,0.05,0.05,0.19,0.19,11.53887,11.53887,7955.31,10768.21685,0,27.64418,7474.71,0,-480.6,,,50,,,,,20,,,,,10,,,,,162,,,,,40.71,,,,,27,,,0,7932.74,7959.96,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 14:55:24",36.52456,7996.484560,369.21685,369.21685,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:00:00",0,"2019/05/16 15:35:00",NSW1,79.04816,79.04816,0,5,5,2.78,2.78,0.99,0.99,23.73,23.73,0.03,0.03,0.05,0.05,0.17,0.17,8.5,8.5,7999.73,10761.50085,0,44.41685,7507.99,0,-491.73,,,50,,,,,20,,,,,10,,,,,163.4,,,,,65,,,,,52.98,,,0,7959.96,7997.67,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 14:55:24",36.52456,8034.194560,362.50085,362.50085,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:00:00",0,"2019/05/16 15:40:00",NSW1,85.50988,85.50988,0,4.26075,4.26075,1.81,1.81,0.99,0.99,23.73,23.73,0.03,0.03,0.05,0.05,0.17,0.17,8.73,8.73,8034.88,10754.51985,0,35.1533,7541.01,0,-493.87,,,50,,,,,20,,,,,10,,,,,164.21,,,,,45,,,,,38,,,0,7997.67,8033,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 14:55:24",36.52456,8069.524560,355.51985,355.51985,0
