C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,11:55:35,0000000307952212,P5MIN,0000000307952209
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 12:00:00","2019/05/16 12:00:00",0,3584384554.4930,0,0,0,0,0,363.084,,,,,0,0,0,0,"2019/05/16 11:55:24"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 12:00:00",GORDON,"2019/05/16 12:00:00",17.78,2,"2019/05/16 11:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 12:00:00",GORDON,"2019/05/16 12:05:00",17.71,2,"2019/05/16 11:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 12:00:00",GORDON,"2019/05/16 12:10:00",17.71,2,"2019/05/16 11:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 12:00:00",GORDON,"2019/05/16 12:15:00",17.71,2,"2019/05/16 11:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 12:00:00",GORDON,"2019/05/16 12:20:00",17.71,2,"2019/05/16 11:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 12:00:00",GORDON,"2019/05/16 12:25:00",17.77,2,"2019/05/16 11:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 12:00:00",GORDON,"2019/05/16 12:30:00",17.62,2,"2019/05/16 11:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 12:00:00",GORDON,"2019/05/16 12:35:00",17.67,2,"2019/05/16 11:55:24"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 12:00:00",GORDON,"2019/05/16 12:40:00",17.67,2,"2019/05/16 11:55:24"
