C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,15:30:36,0000000307958307,P5MIN,0000000307958304
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 15:35:00","2019/05/16 15:35:00",0,-183173353.96,0,0,0,0,0,10.375,,,,,0,0,0,0,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 16:10:00",41.5,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 16:15:00",57.97,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 16:20:00",73.07,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 16:25:00",72.37,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TARRALEA,"2019/05/16 16:30:00",206.15,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 15:35:00",49.66,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 15:40:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 15:45:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 15:50:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 15:55:00",40.71,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 16:00:00",72.37,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 16:05:00",42.93,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 16:10:00",41.5,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 16:15:00",57.97,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 16:20:00",73.07,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 16:25:00",72.37,2,"2019/05/16 15:30:26"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 15:35:00",TUNGATIN,"2019/05/16 16:30:00",206.15,2,"2019/05/16 15:30:26"
I,P5MIN,REGIONSOLUTION,5,RUN_DATETIME,INTERVENTION,INTERVAL_DATETIME,REGIONID,RRP,ROP,EXCESSGENERATION,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALREQ,LOWER5MINREQ,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALREQ,LOWER60SECREQ,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALREQ,LOWER6SECREQ,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALREQ,RAISE5MINREQ,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALREQ,RAISE60SECREQ,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALREQ,RAISE6SECREQ,AGGREGATEDISPATCHERROR,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGDISPATCH,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGDISPATCH,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,LASTCHANGED,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 15:35:00",0,"2019/05/16 15:35:00",NSW1,87.10749,87.10749,0,3,3,1.81,1.81,0.73,0.73,29.11079,29.11079,0,0,0.07,0.07,0.19,0.19,9.29,9.29,8078.29,10701.94146,0,12.4082,7454.01,0,-624.29,,,40,,,,,0.54,,,,,0,,,,,162,,,,,45,,,,,38.13,,,28.26718,8045.08984,8078.84,,0,33,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 15:30:26",29.52865,8108.368650,392.94146,392.94146,0
