C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2019/05/22,04:00:08,0000000308171094,DISPATCHSCADA,0000000308171088
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",BW01,657
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",BW02,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",BW03,654.300050
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",BW04,650.800050
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CALL_B_1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CALL_B_2,319.899990
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CETHANA,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CG1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CG2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CG3,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CG4,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CHILDSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CLARESF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CLEMGPWF,-0.432210
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",COLEASF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CPP_3,407
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CPP_4,280.225010
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CPSA,143.3425
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CROOKWF2,41.1550
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CROWLWF1,12.419580
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",CSPVPS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DALNTH01,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DALNTHL1,0.215150
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DARTM1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DAYDSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DDPS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DDSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DEVILS_G,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DG_NSW1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DG_QLD1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DG_SA1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DG_TAS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DG_VIC1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DRYCGT1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DRYCGT2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",DRYCGT3,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",EILDON1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",EILDON2,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",EMERASF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ER01,349.699950
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ER02,496.574950
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ER03,349.800050
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",ER04,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",FISHER,45.94
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GANNBG1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GANNBL1,9.90
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GANNSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GORDON,77.407120
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GSTONE1,145.4250
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GSTONE2,154
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GSTONE3,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GSTONE4,150.149990
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GSTONE5,129.6750
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GSTONE6,149.974990
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GULLRSF1,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GULLRWF1,70.479830
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GUNNING1,14.208190
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",GUTHEGA,0
D,DISPATCH,UNIT_SCADA,1,"2019/05/22 04:05:00",HALLWF1,2.89
