C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,08:05:36,0000000307944734,P5MIN,0000000307944731
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 08:10:00","2019/05/16 08:10:00",0,88132907.4450,0,0,0,30,0,6.72,,,,,0,0,0,0,"2019/05/16 08:05:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",SAPHWF1,"2019/05/16 08:20:00",-4.32,1,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",SAPHWF1,"2019/05/16 08:25:00",-10.05,1,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",SAPHWF1,"2019/05/16 08:30:00",-8.98,1,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",SAPHWF1,"2019/05/16 08:35:00",-12.69,1,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",SAPHWF1,"2019/05/16 08:40:00",-10.72,1,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",SAPHWF1,"2019/05/16 08:45:00",-9.99,1,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",SAPHWF1,"2019/05/16 08:50:00",-9.49,1,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",SAPHWF1,"2019/05/16 08:55:00",-15.75,1,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",SAPHWF1,"2019/05/16 09:00:00",-15.37,1,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",SAPHWF1,"2019/05/16 09:05:00",-68.48,1,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 08:10:00",-94.17,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 08:15:00",-94.11,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 08:20:00",-93.54,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 08:25:00",-92.87,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 08:30:00",-91.75,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 08:35:00",-94.5,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 08:40:00",-92.43,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 08:45:00",-91.67,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 08:50:00",-91.12,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 08:55:00",-91.16,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 09:00:00",-90.53,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRSF1,"2019/05/16 09:05:00",-94.15,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 08:10:00",-94.17,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 08:15:00",-94.11,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 08:20:00",-93.54,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 08:25:00",-92.87,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 08:30:00",-91.75,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 08:35:00",-94.5,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 08:40:00",-92.43,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 08:45:00",-91.67,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 08:50:00",-91.12,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 08:55:00",-91.16,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 09:00:00",-90.53,2,"2019/05/16 08:05:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 08:10:00",WRWF1,"2019/05/16 09:05:00",-94.15,2,"2019/05/16 08:05:25"
I,P5MIN,REGIONSOLUTION,5,RUN_DATETIME,INTERVENTION,INTERVAL_DATETIME,REGIONID,RRP,ROP,EXCESSGENERATION,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALREQ,LOWER5MINREQ,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALREQ,LOWER60SECREQ,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALREQ,LOWER6SECREQ,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALREQ,RAISE5MINREQ,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALREQ,RAISE60SECREQ,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALREQ,RAISE6SECREQ,AGGREGATEDISPATCHERROR,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGDISPATCH,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGDISPATCH,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,LASTCHANGED,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 08:10:00",0,"2019/05/16 08:10:00",NSW1,94.17276,94.17276,0,1.45,1.45,3,3,2,2,20,20,0,0,0.03,0.03,0.19,0.19,14.73,14.73,8959.48,10773.68,0,-15.21484,8090.36,0,-869.12,,,45,,,,,5,,,,,0,,,,,219,,,,,53.07,,,,,27,,,7.2638,8979.47363,8988.04,,0,58,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 08:05:25",24.82917,9012.869170,530.68,510.836,55.001
