C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/05/16,10:30:36,0000000307949590,P5MIN,0000000307949587
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/05/16 10:35:00","2019/05/16 10:35:00",0,10936636205.15,0,0,0,0,0,1047.906,,,,,0,0,0,0,"2019/05/16 10:30:25"
I,P5MIN,LOCAL_PRICE,1,RUN_DATETIME,DUID,INTERVAL_DATETIME,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 10:35:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 10:40:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 10:45:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 10:50:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 10:55:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 11:00:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 11:05:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 11:10:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 11:15:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 11:20:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 11:25:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",GORDON,"2019/05/16 11:30:00",17.71,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",JBUTTERS,"2019/05/16 10:50:00",2.08,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",JBUTTERS,"2019/05/16 10:55:00",2.08,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",JBUTTERS,"2019/05/16 11:00:00",2.08,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",JBUTTERS,"2019/05/16 11:05:00",2.08,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",JBUTTERS,"2019/05/16 11:10:00",2.08,2,"2019/05/16 10:30:25"
D,P5MIN,LOCAL_PRICE,1,"2019/05/16 10:35:00",JBUTTERS,"2019/05/16 11:15:00",2.08,2,"2019/05/16 10:30:25"
