I,P5MIN,REGIONSOLUTION,5,RUN_DATETIME,INTERVENTION,INTERVAL_DATETIME,REGIONID,RRP,ROP,EXCESSGENERATION,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALREQ,LOWER5MINREQ,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALREQ,LOWER60SECREQ,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALREQ,LOWER6SECREQ,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALREQ,RAISE5MINREQ,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALREQ,RAISE60SECREQ,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALREQ,RAISE6SECREQ,AGGREGATEDISPATCHERROR,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGDISPATCH,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGDISPATCH,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,LASTCHANGED,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:00:00",NSW1,76.69305,76.69305,0,1,1,0.99,0.99,1,1,14.08732,14.08732,0,0,0.11,0.11,0.44,0.44,11.53632,11.53632,8310.15,11016.287,0,-48.02051,7631.25,0,-678.9,,,31,,,,,21,,,,,0,,,,,187.72,,,,,29.66,,,,,22.29,,,3.37129,8382.54688,8342.65,,0,50,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8343.093530,510.287,510.287,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:05:00",NSW1,94.68331,94.68331,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0,0,0.04,0.04,0.19,0.19,8.73,8.73,8404.95,11019.462,0,94.80522,7628.46,0,-776.49,,,31,,,,,11.43,,,,,1,,,,,172.22,,,,,12,,,,,29,,,3.37129,8342.65,8432.76,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8433.203530,513.462,513.462,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:10:00",NSW1,95.20409,95.20409,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0,0,0.04,0.04,0.19,0.19,8.73,8.73,8391.96,11021.98,0,-12.99602,7635.98,0,-755.98,,,31,,,,,12.45,,,,,1,,,,,172.54,,,,,12,,,,,29.41,,,3.37129,8432.76,8417.09,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8417.533530,515.98,515.98,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:15:00",NSW1,95.21972,95.21972,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0.01,0.01,0.04,0.04,0.19,0.19,8.73,8.73,8372.55,11024.05,0,-19.41256,7638.05,0,-734.5,,,31,,,,,13.43,,,,,1.87,,,,,172.88,,,,,12,,,,,36.39,,,3.37129,8417.09,8394.48,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8394.923530,518.05,518.05,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:20:00",NSW1,95.22459,95.22459,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0.01,0.01,0.04,0.04,0.19,0.19,8.73,8.73,8338.86,11025.753,0,-33.6882,7639.75,0,-699.1,,,31,,,,,14.78,,,,,3.22,,,,,173.32,,,,,12,,,,,31.74,,,3.37129,8394.48,8360.16,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8360.603530,519.753,519.753,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:25:00",NSW1,91.92419,91.92419,0,1,1,0.5,0.5,0.99,0.99,14.5,14.5,0.01,0.01,0.04,0.04,0.19,0.19,8.73,8.73,8293.67,11027.155,0,-45.18522,7641.16,0,-652.52,,,31,,,,,16.52,,,,,4.96,,,,,173.88,,,,,12,,,,,39,,,3.37129,8360.16,8313.57,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8314.013530,521.155,521.155,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:30:00",NSW1,84.69677,84.69677,0,1,1,0.5,0.5,1,1,14.51711,14.51711,0.01,0.01,0.04,0.04,0.19,0.19,9.55556,9.55556,8266.28,11028.299,0,-27.39289,7617.3,0,-648.98,,,31,,,,,17.58,,,,,6.02,,,,,180,,,,,12,,,,,38.36,,,3.37129,8313.57,8284.12,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8284.563530,522.299,522.299,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:35:00",NSW1,91.27655,91.27655,0,1.25,1.25,0.62444,0.62444,0.99,0.99,14.73,14.73,0.01,0.01,0.05,0.05,0.2,0.2,8.73028,8.73028,8262.83,11029.371,0,-3.45277,7643.37,0,-619.46,,,31,,,,,21,,,,,6.81,,,,,174.46,,,,,12,,,,,39,,,3.37129,8284.12,8280.75,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8281.193530,523.371,523.371,0
D,P5MIN,REGIONSOLUTION,5,"2019/05/16 22:00:00",0,"2019/05/16 22:40:00",NSW1,86.73398,86.73398,0,1.25,1.25,0.62444,0.62444,0.99,0.99,14.73,14.73,0.01,0.01,0.05,0.05,0.2,0.2,9,9,8235.9,11030.432,0,-26.92184,7619.43,0,-616.47,,,31,,,,,21,,,,,8.25,,,,,176.92,,,,,12,,,,,39,,,3.37129,8280.75,8253.77,,0,59,,,,0,12,,,,,,,,,,,,,,,,,,,"2019/05/16 21:55:25",0.44353,8254.213530,524.432,524.432,0
