I,Availability (MW),Market Price ($/MWh)
D,-1000,202.26542520255282
D,-900,110.2799480950898
D,-800,88.1187012987013
D,-700,62.363243066035295
D,-600,57.995352767215884
D,-500,57.995352767215884
D,-400,57.995352767215884
D,-300,57.995352767215884
D,-200,52.03566155663995
D,-100,46.70653240498649
D,-90,44.54366629733964
D,-80,44.54366629733964
D,-70,44.54134963468478
D,-60,44.21383506345489
D,-50,41.66814457778114
D,-40,41.66814457778114
D,-30,41.66814457778114
D,-20,41.44082542613049
D,-10,41.36156018882187
D,0,40.05858358980463
D,10,38.44983260626965
D,20,38.44983260626965
D,30,38.38961038961039
D,40,38.38961038961039
D,50,38.38887158725215
D,60,38.38887158725215
D,70,37.74623569522581
D,80,35.30840726658217
D,90,35.30840726658217
D,100,35.03741702140679
D,200,33.199504821204194
D,300,29.225343283880722
D,400,26.254570525141776
D,500,16.16511354451446
D,600,11.95148749438405
D,700,9.991550485847066
D,800,9.128278265253305
D,900,8.95882818859192
D,1000,8.711483205825886
I,Availability (MW),Market Price ($/MWh)
D,-7.5,40.49707216011431
D,-5,40.05858358980463
D,-2.5,40.05858358980463
D,2.5,38.44983260626965
D,5,38.44983260626965
D,7.5,38.44983260626965
