I,Availability (MW),Market Price ($/MWh)
D,-10,16.23677728525104
D,-7.5,16.23677728525104
D,-5,16.079337276860283
D,-2.5,16.079337276860283
D,0,16.079337276860283
D,2.5,16.079337276860283
D,5,16.079337276860283
D,7.5,16.079337276860283
D,10,16.079337276860283
