I,Availability (MW),Market Price ($/MWh)
D,-10,184.89985062747184
D,-7.5,184.89985062747184
D,-5,184.75490096495682
D,-2.5,184.75490096495682
D,0,180.87793543296053
D,2.5,168.44760236949188
D,5,168.44760236949188
D,7.5,166.34503168534346
D,10,135.95490096495686
