C,NEMP.WORLD,P5MIN,AEMO,PUBLIC,2019/04/30,14:25:45,0000000307332374,P5MIN,0000000307332371
I,P5MIN,CASESOLUTION,2,RUN_DATETIME,STARTINTERVAL_DATETIME,INTERVENTION,TOTALOBJECTIVE,NONPHYSICALLOSSES,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,LASTCHANGED
D,P5MIN,CASESOLUTION,2,"2019/04/30 14:30:00","2019/04/30 14:30:00",1,505884196.1540,0,0,0,480,0,84,,,,,0,0,0,0,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",REECE2,"2019/04/30 15:10:00",-97.14,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",REECE2,"2019/04/30 15:15:00",-97.88,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",REECE2,"2019/04/30 15:20:00",-97.33,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",REECE2,"2019/04/30 15:25:00",-97.41,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 14:30:00",-89.08,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 14:35:00",-88.23,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 14:40:00",-87.94,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 14:45:00",-89.72,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 14:50:00",-95.78,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 14:55:00",-95.78,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 15:00:00",-95.83,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 15:05:00",-95.83,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 15:10:00",-97.14,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 15:15:00",-97.88,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 15:20:00",-97.33,2,"2019/04/30 14:25:25"
D,P5MIN,LOCAL_PRICE,1,"2019/04/30 14:30:00",TRIBUTE,"2019/04/30 15:25:00",-97.41,2,"2019/04/30 14:25:25"
I,P5MIN,REGIONSOLUTION,5,RUN_DATETIME,INTERVENTION,INTERVAL_DATETIME,REGIONID,RRP,ROP,EXCESSGENERATION,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALREQ,LOWER5MINREQ,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALREQ,LOWER60SECREQ,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALREQ,LOWER6SECREQ,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALREQ,RAISE5MINREQ,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALREQ,RAISE60SECREQ,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALREQ,RAISE6SECREQ,AGGREGATEDISPATCHERROR,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGDISPATCH,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGDISPATCH,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,LASTCHANGED,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF,SEMISCHEDULE_CLEAREDMW,SEMISCHEDULE_COMPLIANCEMW
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:30:00",NSW1,75.66683,75.66683,0,2,2,4,4,2,2,41.66674,41.66674,0,0,0.07,0.07,0.19,0.19,15,15,7866.12,11943.91212,0,-1.50049,8048.79,0,182.68,,,55,,,,,32.95,,,,,0,,,,,218.62,,,,,74,,,,,80,,,0,7871.72314,7869.75,,0,77,,,,0,92.41,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,7989.613720,600.91212,609.20112,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:35:00",NSW1,76.17403,76.17403,0,2.8,2.8,4,4,2,2,34.73,34.73,0,0,0.07,0.07,0.19,0.19,14,14,7879.64,11940.83712,0,13.52238,8078.84,0,199.2,,,55,,,,,43.76,,,,,0,,,,,218.48,,,,,74,,,,,94.69,,,0,7869.75,7883.48,,0,70.36,,,,0,96,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8003.343720,597.83712,597.83712,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:40:00",NSW1,76.66995,76.66995,0,2.8,2.8,4,4,2,2,34.73,34.73,0,0,0.07,0.07,0.19,0.19,14,14,7895.35,11936.47512,0,15.71037,8074.48,0,179.13,,,55,,,,,44.28,,,,,0,,,,,218.24,,,,,74,,,,,93.88,,,0,7883.48,7898.57,,0,68.76,,,,0,96,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8018.433720,593.47512,593.47512,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:45:00",NSW1,80.52533,80.52533,0,2.8,2.8,4,4,2,2,34.73,34.73,0,0,0.07,0.07,0.19,0.19,14,14,7931.78,11931.57012,0,36.42798,8069.57,0,137.79,,,55,,,,,42.89,,,,,0,,,,,217.79,,,,,74,,,,,92.41,,,0,7898.57,7934.15,,0,68.66,,,,0,96,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8054.013720,588.57012,588.57012,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:50:00",NSW1,81.04464,81.04464,0,2.8,2.8,4,4,2,2,34.73,34.73,0,0,0.07,0.07,0.19,0.19,14,14,7953.48,11927.94912,0,21.70573,8065.95,0,112.47,,,55,,,,,41.72,,,,,0,,,,,217.44,,,,,74,,,,,91.24,,,0,7934.15,7955.56,,0,68.66,,,,0,96,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8075.423720,584.94912,584.94912,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:55:00",NSW1,87.00005,87.00005,0,2.8,2.8,4,4,2,2,38.48074,38.48074,0,0,0.07,0.07,0.19,0.19,14,14,7980.55,11924.20712,0,27.06334,8077.85,0,97.3,,,55,,,,,40.97,,,,,0,,,,,217.22,,,,,74,,,,,90.49,,,0,7955.56,7982.25,,0,68.66,,,,0,92.41,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8102.113720,581.20712,581.20712,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 15:00:00",NSW1,87.0272,87.0272,0,2.8,2.8,4,4,2,2,38.50789,38.50789,0,0,0.07,0.07,0.19,0.19,14,14,7966.71,11920.27012,0,-13.83651,8098.91,0,132.2,,,55,,,,,36.3,,,,,0,,,,,217.08,,,,,74,,,,,90.04,,,0,7982.25,7969.06,,0,68.66,,,,0,92.41,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8088.923720,577.27012,577.27012,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 15:05:00",NSW1,87.00005,87.00005,0,2.8,2.8,5,5,2,2,47,47,0,0,0.07,0.07,0.19,0.19,14,14,7978.91,11920.02012,0,12.20534,8110.73,0,131.81,,,55,,,,,37.64,,,,,0,,,,,216.9,,,,,82.68,,,,,89.49,,,0,7969.06,7981.21,,0,68.87,,,,0,91,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8101.073720,573.02012,573.02012,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 15:10:00",NSW1,88.92973,88.92973,0,2.8,2.8,5,5,2,2,47,47,0,0,0.07,0.07,0.14,0.14,14,14,8010.42,11915.51012,0,31.505,8131.22,0,120.8,,,45,,,,,33.54,,,,,0,,,,,216.55,,,,,81.47,,,,,88.28,,,0,7981.21,8012.47,,0,68.87,,,,0,91,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8132.333720,568.51012,568.51012,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 15:15:00",NSW1,89.54345,89.54345,0,2.8,2.8,5,5,2,2,47,47,0,0,0.07,0.07,0.14,0.14,14,14,8037.89,11911.00212,0,27.47074,8130,0,92.11,,,45,,,,,32.82,,,,,0,,,,,216.33,,,,,80.75,,,,,87.56,,,0,8012.47,8039.41,,0,68.87,,,,0,91,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8159.273720,564.00212,564.00212,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 15:20:00",NSW1,90.6448,90.6448,0,2.8,2.8,5,5,2,2,47,47,0,0,0.07,0.07,0.14,0.14,14,14,8045.08,11906.39312,0,7.18974,8125.39,0,80.31,,,45,,,,,32.08,,,,,0,,,,,216.11,,,,,72.74,,,,,86.82,,,0,8039.41,8046.56,,0,68.87,,,,0,91,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8166.423720,559.39312,559.39312,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 15:25:00",NSW1,92,92,0,2.8,2.8,5,5,1.98,1.98,47.1293,47.1293,0,0,0.07,0.07,0.14,0.14,14,14,8060.8,11901.70212,0,15.71702,8163.03,0,102.24,,,45,,,,,30.79,,,,,0,,,,,216,,,,,78.72,,,,,85.53,,,0,8046.56,8062.61,,0,68.87,,,,0,91,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",119.86372,8182.473720,554.70212,554.70212,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:30:00",QLD1,77.25454,77.25454,0,2,2,4,4,2,2,41.66674,41.66674,0,0,0.07,0.07,0.19,0.19,15,15,6557.87,9748.79897,0,18.75293,6520.81,0,-37.07,,,0,,,,,0,,,,,0,,,,,24,,,,,107,,,,,74,,,5.52311,6533.31689,6558.1,,0,68,,,,0,100,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",113.39575,6671.495750,307.79897,307.79897,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:35:00",QLD1,78.25318,78.25318,0,2.8,2.8,4,4,2,2,34.73,34.73,0,0,0.07,0.07,0.19,0.19,14,14,6573.77,9741.56597,0,15.89817,6513.58,0,-60.2,,,0,,,,,0,,,,,0,,,,,24,,,,,87,,,,,54,,,5.52311,6558.1,6574.2,,0,60,,,,0,96.41,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",113.39575,6687.595750,300.56597,300.56597,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:40:00",QLD1,79.28146,79.28146,0,2.8,2.8,4,4,2,2,34.73,34.73,0,0,0.07,0.07,0.19,0.19,14,14,6610.19,9734.30297,0,36.42071,6506.31,0,-103.88,,,0,,,,,0,,,,,0,,,,,24,,,,,87,,,,,54,,,5.52311,6574.2,6611.07,,0,60,,,,0,96.41,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",113.39575,6724.465750,293.30297,293.30297,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:45:00",QLD1,82.7301,82.7301,0,2.8,2.8,4,4,2,2,34.73,34.73,0,0,0.07,0.07,0.19,0.19,14,14,6626.67,9729.10197,0,16.4741,6565,0,-61.67,,,0,,,,,0,,,,,0,,,,,24,,,,,87,,,,,54,,,5.52311,6611.07,6627.11,,0,60,,,,0,96.41,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",113.39575,6740.505750,288.10197,288.10197,0
D,P5MIN,REGIONSOLUTION,5,"2019/04/30 14:30:00",0,"2019/04/30 14:50:00",QLD1,82.7301,82.7301,0,2.8,2.8,4,4,2,2,34.73,34.73,0,0,0.07,0.07,0.19,0.19,14,14,6659.48,9723.96497,0,32.81291,6639.8,0,-19.68,,,0,,,,,0,,,,,0,,,,,24,,,,,87,,,,,54,,,5.52311,6627.11,6659.59,,0,60,,,,0,96.41,,,,,,,,,,,,,,,,,,,"2019/04/30 14:25:25",113.39575,6772.985750,282.96497,282.96497,0
