Type, Battery Size(MWh), Max Capacity (MW), Price Taker Bid (MW), NSW1, QLD1, SA1, TAS1, VIC1
, 0, 0, 0, 38.38961039, 34.75096966, 34.09947383, 47.00232471, 37.90546118
GENERATOR,12,30,30.0,37.63618352812439,34.06895403733873,32.737397428225876,45.97370308232769,36.81295091069909
,65,50,0.0,38.38961038961039,34.750969659227735,34.09947382978928,47.00232471087987,37.90546118023603
,129,100,0.0,38.38961038961039,34.750969659227735,34.09947382978928,47.00232471087987,37.90546118023603
,429,200,0.0,38.38961038961039,34.750969659227735,34.09947382978928,47.00232471087987,37.90546118023603
,1000,500,0.0,38.38961038961039,34.750969659227735,34.09947382978928,47.00232471087987,37.90546118023603
LOAD,2800,700,700.0,57.995352767215884,51.45346004145922,68.77744851522425,70.3934140361111,63.456253410722965
LOAD,4000,1000,1000.0,202.85009806834847,179.60267424302762,268.58022628534553,209.67112712300565,228.1924533798643
