DUID,Region,Fuel Source,Our Value,AEMO Value,Our Value minus AEMO Value
WRWF1,NSW1,Wind,92.05076000000076,166.738,-74.68723999999924
WRSF1,NSW1,Solar,0.0,0.0,0.0
ER02,NSW1,Fossil,25.0,0.0,25.0
COLEASF1,NSW1,Solar,0.0,0.0,0.0
LD01,NSW1,Fossil,399.52505,420.0,-20.47494999999998
BW02,NSW1,Fossil,630.04993,660.0,-29.950069999999982
GULLRSF1,NSW1,Solar,0.0,0.0,0.0
URANQ12,NSW1,Fossil,0.0,0.0,0.0
VP5,NSW1,Fossil,280.0,285.02499,-5.0249900000000025
MP1,NSW1,Fossil,280.0,280.0,0.0
BROKENH1,NSW1,Solar,0.0,0.0,0.0
TUMUT3,NSW1,Hydro,0.0,0.0,0.0
MOREESF1,NSW1,Solar,0.0,0.0,0.0
MP2,NSW1,Fossil,280.0,280.0,0.0
GUTHEGA,NSW1,Hydro,0.0,0.0,0.0
BW04,NSW1,Fossil,432.34998,450.0,-17.650019999999984
CG2,NSW1,Fossil,0.0,0.0,0.0
CPP_3,QLD1,Fossil,360.875,381.0,-20.125
CHILDSF1,QLD1,Solar,0.0,0.0,0.0
TARONG#1,QLD1,Fossil,270.0,270.0,0.0
KAREEYA3,QLD1,Hydro,22.0,22.0,0.0
BRAEMAR6,QLD1,Fossil,0.0,0.0,0.0
MSTUART1,QLD1,Fossil,0.0,0.0,0.0
RUGBYR1,QLD1,Solar,0.0,0.0,0.0
MEWF1,QLD1,Wind,95.489,95.489,0.0
W/HOE#2,QLD1,Hydro,0.0,0.0,0.0
BRAEMAR3,QLD1,Fossil,0.0,0.0,0.0
STAN-4,QLD1,Fossil,190.0,190.0,0.0
GSTONE5,QLD1,Fossil,111.32499999999999,130.0,-18.67500000000001
EMERASF1,QLD1,Solar,0.0,0.0,0.0
COOPGWF1,QLD1,Wind,4.0,4.0,0.0
TARONG#3,QLD1,Fossil,180.0,180.0,0.0
BRAEMAR5,QLD1,Fossil,0.0,0.0,0.0
BRAEMAR2,QLD1,Fossil,0.0,0.0,0.0
SWAN_E,QLD1,Fossil,0.0,0.0,0.0
CPP_4,QLD1,Fossil,359.77499,359.77499,0.0
KAREEYA1,QLD1,Hydro,22.0,22.0,0.0
STAN-3,QLD1,Fossil,220.0,220.0,0.0
TARONG#4,QLD1,Fossil,225.0,225.0,0.0
SMCSF1,QLD1,Solar,0.0,0.0,0.0
W/HOE#1,QLD1,Hydro,0.0,0.0,0.0
HAYMSF1,QLD1,Solar,0.0,0.0,0.0
HAUGHT11,QLD1,Solar,0.0,0.0,0.0
DAYDSF1,QLD1,Solar,0.0,0.0,0.0
YABULU,QLD1,Fossil,0.0,0.0,0.0
CALL_B_1,QLD1,Fossil,20.0,0.0,20.0
CLERMSF1,QLD1,Solar,15.0,0.0,15.0
KSP1,QLD1,Solar,0.0,0.0,0.0
MPP_2,QLD1,Fossil,395.5,410.0,-14.5
OAKEY1,QLD1,Fossil,0.0,0.0,0.0
YABULU2,QLD1,Fossil,0.0,0.0,0.0
DDPS1,QLD1,Fossil,255.0,255.0,0.0
KPP_1,QLD1,Fossil,732.5,750.0,-17.5
BRAEMAR7,QLD1,Fossil,0.0,0.0,0.0
STAN-2,QLD1,Fossil,180.0,180.0,0.0
TNPS1,QLD1,Fossil,300.0,300.0,0.0
KAREEYA4,QLD1,Hydro,22.0,22.0,0.0
SRSF1,QLD1,Solar,0.0,0.0,0.0
BARCALDN,QLD1,Fossil,0.0,0.0,0.0
GSTONE2,QLD1,Fossil,25.0,0.0,25.0
CALL_B_2,QLD1,Fossil,20.0,0.0,20.0
GSTONE3,QLD1,Fossil,110.09998999999999,130.0,-19.90001000000001
HAMISF1,QLD1,Solar,0.0,0.0,0.0
WHITSF1,QLD1,Solar,0.0,0.0,0.0
LILYSF1,QLD1,Solar,0.0,0.0,0.0
RRSF1,QLD1,Solar,0.0,0.0,0.0
BRAEMAR1,QLD1,Fossil,0.0,0.0,0.0
OAKEY2,QLD1,Fossil,0.0,0.0,0.0
STAN-1,QLD1,Fossil,15.0,0.0,15.0
DDSF1,QLD1,Solar,0.0,0.0,0.0
GSTONE1,QLD1,Fossil,110.80000000000001,130.0,-19.19999999999999
CPSA,QLD1,Fossil,74.0,74.0,0.0
MSTUART3,QLD1,Fossil,0.0,0.0,0.0
CLARESF1,QLD1,Solar,0.0,0.0,0.0
ROMA_8,QLD1,Fossil,0.0,0.0,0.0
OAKEY1SF,QLD1,Solar,0.0,0.0,0.0
GSTONE4,QLD1,Fossil,111.14999,130.0,-18.850009999999997
YARWUN_1,QLD1,Fossil,129.64999,129.64999,0.0
BARRON-2,QLD1,Hydro,0.0,0.0,0.0
KAREEYA2,QLD1,Hydro,22.0,22.0,0.0
MSTUART2,QLD1,Fossil,0.0,0.0,0.0
BARRON-1,QLD1,Hydro,25.0,25.0,0.0
GSTONE6,QLD1,Fossil,111.67500000000001,130.0,-18.32499999999999
MPP_1,QLD1,Fossil,398.75,410.0,-11.25
TARONG#2,QLD1,Fossil,225.0,230.0,-5.0
