I,P5MIN,REGIONSOLUTION,,RUN_DATETIME,INTERVENTION,RUNNO,REGIONID,Price,RRP Record,ROP Record
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:40:00,VIC1,33.02937281105878,37.37022,37.37022
I,P5MIN,REGIONSOLUTION,,RUN_DATETIME,INTERVENTION,RUNNO,REGIONID,Price,RRP Record,ROP Record
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:45:00,NSW1,34.72206326903147,38.45015,38.45015
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:45:00,QLD1,31.951754385964907,35.33725,35.33725
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:45:00,SA1,28.86833879268177,33.03908,33.03908
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:45:00,TAS1,34.61746592074279,172.73372,172.73372
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:45:00,VIC1,33.03749598511958,37.39937,37.39937
I,P5MIN,REGIONSOLUTION,,RUN_DATETIME,INTERVENTION,RUNNO,REGIONID,Price,RRP Record,ROP Record
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:50:00,NSW1,35.14997458057956,38.45015,38.45015
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:50:00,QLD1,32.114048692181136,35.3353,35.3353
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:50:00,SA1,29.027818131274262,32.99718,32.99718
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:50:00,TAS1,34.96243582633868,172.73372,172.73372
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:50:00,VIC1,33.4097062456687,37.34129,37.34129
I,P5MIN,REGIONSOLUTION,,RUN_DATETIME,INTERVENTION,RUNNO,REGIONID,Price,RRP Record,ROP Record
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:55:00,NSW1,38.38961038961039,39.8003,39.8003
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:55:00,QLD1,34.82552689046677,36.85039,36.85039
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:55:00,SA1,31.53045949645125,34.52414,34.52414
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:55:00,TAS1,37.83366806458514,172.73372,172.73372
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 04:55:00,VIC1,36.50766372589789,39.0795,39.0795
I,P5MIN,REGIONSOLUTION,,RUN_DATETIME,INTERVENTION,RUNNO,REGIONID,Price,RRP Record,ROP Record
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 05:00:00,NSW1,44.34628127427735,40.1274,40.1274
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 05:00:00,QLD1,39.95574851911686,37.44,37.44
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 05:00:00,SA1,36.32341476842473,34.7597,34.7597
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 05:00:00,TAS1,43.18031956325767,172.76,172.76
D,P5MIN,REGIONSOLUTION,,,0,2020/09/01 05:00:00,VIC1,42.12403551119298,39.33578,39.33578
