C,NEMP.WORLD,DISPATCHSCADA,AEMO,PUBLIC,2019/04/29,16:25:08,0000000307295427,DISPATCHSCADA,0000000307295421
I,DISPATCH,UNIT_SCADA,1,SETTLEMENTDATE,DUID,SCADAVALUE
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BROKENH1,24.984860
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BW01,601.675050
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BW02,425.049930
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BW03,596.074950
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",BW04,567.450070
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CALL_B_1,340
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CALL_B_2,349.50
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CETHANA,79.0245
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CG1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CG2,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CG3,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CG4,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CHILDSF1,9.65
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CLARESF1,12.798980
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CLEMGPWF,-0.072040
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",COLEASF1,41.50
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CPP_3,405.350010
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CPP_4,331.649990
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CPSA,141.276250
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CROOKWF2,9.773750
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CROWLWF1,1.070910
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",CSPVPS1,11.3630
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DALNTH01,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DALNTHL1,0.056460
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DARTM1,6.30
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DAYDSF1,76.2450
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DDPS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DDSF1,22.895620
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DEVILS_G,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DG_NSW1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DG_QLD1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DG_SA1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DG_TAS1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DG_VIC1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DRYCGT1,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DRYCGT2,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",DRYCGT3,0
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",EILDON1,39.12
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",EILDON2,0.32
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",EMERASF1,37.16
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",ER01,695
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",ER02,695.699950
D,DISPATCH,UNIT_SCADA,1,"2019/04/29 16:30:00",ER03,700.474980
