Datetime,Generator RAISE5MIN,Load RAISE5MIN,Price RAISE5MIN,Generator LOWER5MIN,Load LOWER5MIN,Price LOWER5MIN,Generator RAISE6SEC,Load RAISE6SEC,Price RAISE6SEC,Generator LOWER6SEC,Load LOWER6SEC,Price LOWER6SEC,Generator RAISE60SEC,Load RAISE60SEC,Price RAISE60SEC,Generator LOWER60SEC,Load LOWER60SEC,Price LOWER60SEC,Generator (MW),Load (MW),E (MWh),SOC (%),Price ($/MWh)
2021-09-14 01:40:00,220.60693000000003,0.0,0.03,0.0,122.72600999999997,0.19,245.33,0.0,1.1386398204479757,0.0,85.79908999999998,0.03,245.33,0.0,1.73,0.0,110.14585999999997,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,58.75202594192869
2021-09-14 01:45:00,217.2638266860032,0.0,0.03,0.0,124.65341000000001,0.19,248.0,0.0,1.0,0.0,74.09567981645,0.03,248.0,0.0,1.73,0.0,98.39737981645004,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,58.61338613966254
2021-09-14 01:50:00,0.0,0.0,0.8,0.0,125.89397000000002,0.19,0.0,0.0,20.45,0.0,107.72747699496642,0.03,0.0,0.0,10.01,0.0,133.0,1.0,0.0,0.0,1104.6702266440507,36.822340888135024,49.506894447479226
2021-09-14 01:55:00,0.0,0.0,0.88,0.0,123.77229999999997,0.19,0.0,0.0,20.689680560939905,0.0,87.50600000000003,0.03,0.0,0.0,11.595085809603134,0.0,133.0,1.0,0.0,0.0,1104.6702266440507,36.822340888135024,55.85338613966254
2021-09-14 02:00:00,0.0,0.0,0.87,0.0,124.64756999999997,0.19,0.0,0.0,20.0,0.0,102.66865999999993,0.03,0.0,0.0,9.39,0.0,22.821320000000014,5.877142857142856,0.0,0.0,1104.6702266440507,36.822340888135024,48.53538170819858
2021-09-14 02:05:00,201.63277000000005,0.0,0.03,0.0,75.23966999999999,0.19,212.42140666666666,0.0,0.6,0.0,94.52515806451615,0.03,182.45727164556956,0.0,1.0,0.0,120.29837000000003,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,57.16216218438439
2021-09-14 02:10:00,209.28153999999995,0.0,0.03,0.0,73.322,0.19,252.06716749052947,0.0,0.6,0.0,87.46623806451615,0.03,255.08509997998095,0.0,1.0,0.0,127.31680999999998,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,57.4533861372383
2021-09-14 02:15:00,182.88036999999997,0.0,0.03,0.0,73.01960000000003,0.19,209.96875666666665,0.0,0.6,0.0,89.68521318850453,0.03,178.96875666666665,0.0,1.0,0.0,128.2161351239884,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,50.26053660584078
2021-09-14 02:20:00,196.90738999999996,0.0,0.03,0.0,75.78347000000002,0.19,251.2065,0.0,0.6,0.0,106.22892999999993,0.03,206.45650000000006,0.0,1.0,0.0,133.0,1.0,0.0,0.0,1104.6702266440507,36.822340888135024,46.42484980166209
2021-09-14 02:25:00,186.40664000000004,0.0,0.03,0.0,74.73915,0.19,248.96069,0.0,0.6,0.0,87.85671806451612,0.03,187.21069000000006,0.0,1.0,0.0,128.29318999999998,0.38,0.0,0.0,1104.6702266440507,36.822340888135024,46.87476177949508
