I,DISPATCH,PRICE,,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,RRP Record,ROP Record
D,DISPATCH,PRICE,,2020/09/01 08:00:00,,NSW1,,0,38.38961038961039,38.39006,38.39006
D,DISPATCH,PRICE,,2020/09/01 08:00:00,,QLD1,,0,11.272708591321527,2e-05,2e-05
D,DISPATCH,PRICE,,2020/09/01 08:00:00,,SA1,,0,36.53923785415835,36.37037,36.37037
D,DISPATCH,PRICE,,2020/09/01 08:00:00,,TAS1,,0,41.740922654752474,101.93,101.93
D,DISPATCH,PRICE,,2020/09/01 08:00:00,,VIC1,,0,40.820387077903774,40.86885,40.86885
