I,DISPATCH,PRICE,,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,RRP Record,ROP Record
D,DISPATCH,PRICE,,2020/09/01 05:15:00,,NSW1,,0,38.38961038961039,38.39,38.39
D,DISPATCH,PRICE,,2020/09/01 05:15:00,,QLD1,,0,35.66765926196783,35.67205,35.67205
D,DISPATCH,PRICE,,2020/09/01 05:15:00,,SA1,,0,27.79939266212869,27.84709,27.84709
D,DISPATCH,PRICE,,2020/09/01 05:15:00,,TAS1,,0,39.17207962285266,39.22209,39.22209
D,DISPATCH,PRICE,,2020/09/01 05:15:00,,VIC1,,0,37.018758012023994,37.08228,37.08228
