I,DISPATCH,PRICE,,SETTLEMENTDATE,RUNNO,REGIONID,DISPATCHINTERVAL,INTERVENTION,RRP,RRP Record,ROP Record
D,DISPATCH,PRICE,,2020/09/01 18:45:00,,NSW1,,0,75.8456278596848,293.30815,293.30815
D,DISPATCH,PRICE,,2020/09/01 18:45:00,,QLD1,,0,73.10505270461235,285.00004,285.00004
D,DISPATCH,PRICE,,2020/09/01 18:45:00,,SA1,,0,40.442575347952335,40.44,40.44
D,DISPATCH,PRICE,,2020/09/01 18:45:00,,TAS1,,0,0.0,-0.68,-0.68
D,DISPATCH,PRICE,,2020/09/01 18:45:00,,VIC1,,0,71.42588385071451,272.62639,272.62639
